
*******************
Plotting of evolutionary algorithm with settings: 
*******************

1: Number of battles per war: 5
2: Number of soldiers per war: 40
3: Reployment fraction: 1
4: Strength reduction fraction: 0

5: Size of child pool: 30
6: Size of adult pool: 30
7: number of generations: 200
8: mutation rate: 1
9: crossover rate: 0.9
10: selection protocol: Full generational replacement
11: selection strategy: Sigma scaling
12: elitism: 2

*******************

0.325 0.175 0.05 0.25 0.2   
0.375 0.25 0.15 0.1 0.125   
0.475 0.225 0.1 0.05 0.15   
0.525 0.325 0.075 0 0.075   
0.6 0.15 0.075 0.075 0.1   
0.65 0.225 0.025 0.025 0.075   
0.7 0.225 0.025 0 0.05   
0.8 0.175 0 0 0.025   
0.8 0.175 0 0 0.025   
0.8 0.175 0 0 0.025   
0.825 0.15 0 0 0.025   
0.85 0.1 0.025 0 0.025   
0.875 0.1 0 0 0.025   
0.875 0.1 0 0 0.025   
0.875 0.1 0 0 0.025   
